total_bill,tip,smoker,day,time,size,tip_pct
6.99,1.01,No,Sun,Dinner,2,0.059447
10.34,1.66,Yes,Sun,Dinner,3,0.160542
21.01,3.50,Yes,Sun,Dinner,3,0.166587
23.68,3.31,No,Sun,Dinner,2,0.139780
24.59,3.61,No,Sun,Dinner,4,0.146808
6.99,1.01,No,Sun,Dinner,0,0.059447
10.34,1.66,No,Sun,Dinner,0,0.160542
21.01,3.50,No,Sun,Dinner,5,0.166587
23.68,3.31,No,Sun,Dinner,5,0.139780
24.59,3.61,No,Sun,Dinner,5,0.146808
6.99,1.01,No,Sun,Dinner,6,0.059447
10.34,1.66,No,Sun,Dinner,6,0.160542
21.01,3.50,No,Sun,Dinner,6,0.166587
23.68,3.31,No,Sun,Dinner,6,0.139780
24.59,3.61,No,Sun,Dinner,6,0.146808
25.29,4.71,Yes,Sat,Dinner,1,0.186240
16.99,1.01,Yes,Sat,Dinner,1,0.059447
10.34,1.66,Yes,Sat,Dinner,4,0.160542
25.29,4.71,No,Sat,Dinner,0,0.186240
16.99,1.01,No,Sat,Dinner,0,0.059447
10.34,1.66,No,Sat,Dinner,0,0.160542
25.29,4.71,No,Sat,Dinner,0,0.186240
16.99,1.01,No,Sat,Dinner,2,0.059447
10.34,1.66,No,Sat,Dinner,2,0.160542
25.29,4.71,No,Sat,Dinner,2,0.186240
16.99,1.01,No,Sat,Dinner,2,0.059447
10.34,1.66,No,Sat,Dinner,3,0.160542
25.29,4.71,No,Sat,Dinner,6,0.186240
16.99,1.01,No,Sat,Dinner,6,0.059447
10.34,1.66,No,Sat,Dinner,6,0.160542
25.29,4.71,No,Sat,Dinner,6,0.186240
16.99,1.01,No,Sat,Dinner,6,0.059447
10.34,1.66,No,Sat,Dinner,6,0.160542
25.29,4.71,No,Sat,Dinner,6,0.186240
16.99,1.01,No,Sat,Dinner,6,0.059447
10.34,1.66,No,Sat,Dinner,6,0.160542
21.01,3.50,No,Sat,Dinner,5,0.166587
23.68,3.31,No,Sat,Dinner,5,0.139780
24.59,3.61,No,Fri,Dinner,5,0.146808
25.29,4.71,No,Fri,Dinner,6,0.186240
16.99,1.01,No,Fri,Dinner,1,0.059447
24.59,3.61,No,Fri,Dinner,1,0.146808
25.29,4.71,No,Fri,Dinner,0,0.186240
16.99,1.01,No,Fri,Dinner,3,0.059447
10.34,1.66,No,Fri,Dinner,6,0.160542
24.59,3.61,No,Fri,Dinner,2,0.146808
25.29,4.71,No,Fri,Dinner,2,0.186240
16.99,1.01,No,Fri,Dinner,4,0.059447
24.59,3.61,No,Fri,Dinner,0,0.146808
24.59,3.61,No,Fri,Dinner,0,0.146808
25.29,4.71,No,Fri,Dinner,0,0.186240
16.99,1.01,No,Fri,Dinner,0,0.059447
10.34,1.66,No,Fri,Dinner,0,0.160542
24.59,3.61,No,Fri,Dinner,2,0.146808
25.29,4.71,No,Fri,Dinner,2,0.186240
16.99,1.01,No,Fri,Dinner,2,0.059447
24.59,3.61,No,Fri,Dinner,2,0.146808
21.01,3.50,No,Thur,Dinner,1,0.166587
23.68,3.31,No,Thur,Dinner,0,0.139780
24.59,3.61,No,Thur,Dinner,0,0.146808
25.29,4.71,No,Thur,Dinner,0,0.186240
21.01,3.50,No,Thur,Dinner,5,0.166587
23.68,3.31,No,Thur,Dinner,5,0.139780
24.59,3.61,No,Thur,Dinner,6,0.146808
25.29,4.71,No,Thur,Dinner,6,0.186240
21.01,3.50,No,Thur,Dinner,1,0.166587
23.68,3.31,No,Thur,Dinner,3,0.139780
24.59,3.61,No,Thur,Dinner,3,0.146808
25.29,4.71,No,Thur,Dinner,3,0.186240
21.01,3.50,No,Thur,Dinner,2,0.166587
23.68,3.31,No,Thur,Dinner,2,0.139780
24.59,3.61,No,Thur,Dinner,4,0.146808
25.29,4.71,No,Thur,Dinner,4,0.186240
16.99,1.01,No,Sat,Dinner,6,0.059447
10.34,1.66,No,Sat,Dinner,6,0.160542
21.01,3.50,No,Sat,Dinner,5,0.166587
23.68,3.31,No,Sat,Dinner,5,0.139780
24.59,3.61,No,Fri,Dinner,5,0.146808
25.29,4.71,No,Fri,Dinner,6,0.186240
16.99,1.01,No,Fri,Dinner,1,0.059447
24.59,3.61,No,Fri,Dinner,1,0.146808
25.29,4.71,No,Fri,Dinner,0,0.186240
16.99,1.01,No,Fri,Dinner,3,0.059447
10.34,1.66,No,Fri,Dinner,6,0.160542
24.59,3.61,No,Fri,Dinner,2,0.146808
25.29,4.71,No,Fri,Dinner,2,0.186240
16.99,1.01,No,Fri,Dinner,4,0.059447
24.59,3.61,No,Fri,Dinner,0,0.146808
24.59,3.61,No,Fri,Dinner,0,0.146808
25.29,4.71,No,Fri,Dinner,0,0.186240
16.99,1.01,No,Fri,Dinner,0,0.059447
10.34,1.66,No,Fri,Dinner,0,0.160542
24.59,3.61,No,Fri,Dinner,2,0.146808
25.29,4.71,No,Fri,Dinner,2,0.186240
16.99,1.01,No,Fri,Dinner,2,0.059447
24.59,3.61,No,Fri,Dinner,2,0.146808
25.29,4.71,No,Fri,Dinner,0,0.186240
16.99,1.01,No,Fri,Dinner,0,0.059447
10.34,1.66,No,Fri,Dinner,0,0.160542
24.59,3.61,No,Fri,Dinner,2,0.146808
25.29,4.71,No,Fri,Dinner,2,0.186240
16.99,1.01,No,Fri,Dinner,2,0.059447
24.59,3.61,No,Fri,Dinner,2,0.146808
21.01,3.50,No,Thur,Dinner,1,0.166587
23.68,3.31,No,Thur,Dinner,0,0.139780
24.59,3.61,No,Thur,Dinner,0,0.146808
25.29,4.71,No,Thur,Dinner,0,0.186240
21.01,3.50,No,Thur,Dinner,5,0.166587
23.68,3.31,No,Thur,Dinner,5,0.139780
24.59,3.61,No,Thur,Dinner,6,0.146808
25.29,4.71,No,Thur,Dinner,6,0.186240
21.01,3.50,No,Thur,Dinner,1,0.166587
23.68,3.31,No,Thur,Dinner,3,0.139780
24.59,3.61,No,Thur,Dinner,3,0.146808
25.29,4.71,No,Thur,Dinner,3,0.186240
21.01,3.50,No,Thur,Dinner,2,0.166587
23.68,3.31,No,Thur,Dinner,2,0.139780
24.59,3.61,No,Thur,Dinner,4,0.146808
25.29,4.71,No,Thur,Dinner,4,0.186240
16.99,1.01,No,Sat,Dinner,6,0.059447
10.34,1.66,No,Sat,Dinner,6,0.160542
21.01,3.50,No,Sat,Dinner,5,0.166587
23.68,3.31,No,Sat,Dinner,5,0.139780
24.59,3.61,No,Fri,Dinner,5,0.146808
25.29,4.71,No,Fri,Dinner,6,0.186240
16.99,1.01,No,Fri,Dinner,1,0.059447
24.59,3.61,No,Fri,Dinner,1,0.146808
25.29,4.71,No,Fri,Dinner,0,0.186240
16.99,1.01,No,Fri,Dinner,3,0.059447
10.34,1.66,No,Fri,Dinner,6,0.160542
24.59,3.61,No,Fri,Dinner,2,0.146808
25.29,4.71,No,Fri,Dinner,2,0.186240
16.99,1.01,No,Fri,Dinner,4,0.059447
